업종명,업소명,소재지(도로명),소재지(지번),소재지전화
일반음식점,언양갈비,부산광역시 동구 초량로 7-2 (초량동),부산광역시 동구 초량동 197-39 ,051-462-2508
일반음식점,정선장횟집,부산광역시 동구 진성로 12 (수정동),부산광역시 동구 수정동 214-7 ,051-468-1384
일반음식점,제일곰장어,"부산광역시 동구 초량로 23 (초량동,53,55,57)","부산광역시 동구 초량동 197-51 53,55,57 ",051-468-8392
일반음식점,부산식당,부산광역시 동구 초량로 27 (초량동),부산광역시 동구 초량동 278-3 ,051-468-5623
일반음식점,서울감자탕,부산광역시 동구 초량로 23-2 (초량동),부산광역시 동구 초량동 197-1 ,051-467-5538
일반음식점,길림성,부산광역시 동구 초량상로157번길 48 (수정동),부산광역시 동구 수정동 333-2 ,051-466-2665
일반음식점,땅땅치킨 부산역점,부산광역시 동구 중앙대로209번길 6 (초량동),부산광역시 동구 초량동 489-4 ,051-441-9919
일반음식점,전통본가밀면,"부산광역시 동구 범일로 101-4, 1층 (범일동)",부산광역시 동구 범일동 917-5 ,051-646-3844
일반음식점,골목식당,부산광역시 동구 중앙대로533번길 8 (범일동),부산광역시 동구 범일동 28-10 ,051-645-0611
일반음식점,평산옥,,부산광역시 동구 초량동 591-0 ,051-468-6255
일반음식점,언양갈비,부산광역시 동구 범일로89번길 6 (범일동),부산광역시 동구 범일동 935-2 ,051-636-7567
일반음식점,삼오집,부산광역시 동구 초량중로 88 (초량동),부산광역시 동구 초량동 197-13 ,051-467-8862
일반음식점,미스터짹,부산광역시 동구 초량로 11 (초량동),부산광역시 동구 초량동 197-2 ,051-467-6805
일반음식점,남해집,부산광역시 동구 초량로 17-4 (초량동),부산광역시 동구 초량동 197-42 ,051-468-3075
일반음식점,일미정,부산광역시 동구 고관로29번길 14-1 (초량동),부산광역시 동구 초량동 39-0 ,051-468-6248
일반음식점,열차승무원급식소,부산광역시 동구 중앙대로 206 (초량동),부산광역시 동구 초량동 1187-1 ,
일반음식점,꼬꼬마당,부산광역시 동구 진성로9번길 28 (수정동),부산광역시 동구 수정동 189-6 ,051-468-3714
일반음식점,왕만두,,"부산광역시 동구 초량동 135-23 ,50 ",051-468-3313
일반음식점,제일예천수육,부산광역시 동구 진성로9번길 62 (수정동),부산광역시 동구 수정동 153-0 ,051-467-7868
일반음식점,박사장갈비,"부산광역시 동구 범곡북로3번길 5 (범일동,1622-40)",부산광역시 동구 범일동 44-8 1622-40 ,051-635-0482
일반음식점,일송돼지목살숫불구이,부산광역시 동구 고관로 140 (수정동),부산광역시 동구 수정동 227-65 ,051-467-0170
일반음식점,사거리분식,부산광역시 동구 수정중로11번길 3 (수정동),,051-468-5045
일반음식점,부광갈비,부산광역시 동구 초량중로 88 (초량동),부산광역시 동구 초량동 197-13 ,051-467-7389
일반음식점,은하갈비,부산광역시 동구 초량중로 86 (초량동),부산광역시 동구 초량동 264-1 ,051-467-4303
일반음식점,이토나무 부산진역점,부산광역시 동구 고관로 129-2 (수정동),부산광역시 동구 수정동 234-14 ,
일반음식점,밀양생선구이,부산광역시 동구 중앙대로 243-11 (초량동),부산광역시 동구 초량동 171-13 ,051-467-8793
일반음식점,정운포차,부산광역시 동구 중앙대로251번길 24 (초량동),부산광역시 동구 초량동 49-7 ,051-467-5749
일반음식점,남해회초밥,부산광역시 동구 중앙대로274번길 3-7 (초량동),부산광역시 동구 초량동 1164-4 ,051-469-1895
일반음식점,BBQ 초량점,부산광역시 동구 고관로 37 (수정동),부산광역시 동구 수정동 397-38 ,
일반음식점,우영식당,,부산광역시 동구 좌천동 223-3 ,051-462-6312
일반음식점,고려반점,부산광역시 동구 초량중로 21 (초량동),부산광역시 동구 초량동 1057-317 ,051-468-1620
일반음식점,또순이 포차,"부산광역시 동구 조방로49번길 13 (범일동,,830-47, 830-48)","부산광역시 동구 범일동 830-46 ,830-47, 830-48 ",051-636-4064
일반음식점,네네치킨(초량점),부산광역시 동구 초량북로 1 (초량동),부산광역시 동구 초량동 825-21 ,051-441-1456
일반음식점,충무코다리,부산광역시 동구 초량로16번길 10 (초량동),부산광역시 동구 초량동 190-0 ,
일반음식점,영심이왕족발,"부산광역시 동구 진성로9번길 10 (수정동,, 210-4)","부산광역시 동구 수정동 210-3 , 210-4 ",051-461-0166
일반음식점,오소리순대,"부산광역시 동구 범일로 101-6 (범일동,,924-1)","부산광역시 동구 범일동 917-6 ,924-1 ",051-643-0971
일반음식점,노마진포차,부산광역시 동구 조방로49번길 15 (범일동),부산광역시 동구 범일동 830-256 ,051-637-2229
일반음식점,소우닭계,부산광역시 동구 조방로16번길 20 (범일동),부산광역시 동구 범일동 830-100 ,051-646-0920
일반음식점,쪽갈비쪽,부산광역시 동구 조방로49번길 26-1 (범일동),부산광역시 동구 범일동 830-35 ,051-809-7007
일반음식점,두찜 부산범일점,부산광역시 동구 정공단로 49 (범일동),부산광역시 동구 범일동 147-1 ,051-642-4651
일반음식점,초량식당,부산광역시 동구 초량로 15 (초량동),부산광역시 동구 초량동 200-0 ,051-468-2738
일반음식점,부산식당,,부산광역시 동구 범일동 915-0 ,051-647-5247
일반음식점,골목집,,부산광역시 동구 범일동 288-0 ,051-633-5170
일반음식점,중식당 진,부산광역시 동구 수정로 11 (수정동),부산광역시 동구 수정동 119-2 ,051-465-8888
일반음식점,북경,부산광역시 동구 고관로 129 (수정동),부산광역시 동구 수정동 234-19 ,051-467-8117
일반음식점,88 돼지갈비,"부산광역시 동구 고관로 101-1 (수정동,, 301-5,7)","부산광역시 동구 수정동 301-3 , 301-5,7 ",051-468-3065
일반음식점,날마다좋은집,부산광역시 동구 진성로9번길 16 (수정동),부산광역시 동구 수정동 210-6 ,051-467-1149
일반음식점,장춘족발,부산광역시 동구 조방로49번길 18-1 (범일동),부산광역시 동구 범일동 833-5 ,051-6473-311
일반음식점,수식당,부산광역시 동구 고관로33번길 4 (수정동),부산광역시 동구 수정동 397-7 ,051-464-7109
일반음식점,오늘도 양곱창,부산광역시 동구 초량로 15-10 (초량동),부산광역시 동구 초량동 197-46 ,
일반음식점,대게천국,부산광역시 동구 조방로 39-7 (범일동),부산광역시 동구 범일동 830-303 ,051-645-0025
일반음식점,두리반 한정식,부산광역시 동구 중앙대로196번길 6-5 (초량동),부산광역시 동구 초량동 1204-4 ,051-468-2225
일반음식점,물금횟집,부산광역시 동구 고관로 106 (수정동),부산광역시 동구 수정동 170-1 ,051-466-5742
일반음식점,남원추어탕,부산광역시 동구 중앙대로180번길 9 (초량동),부산광역시 동구 초량동 1204-13 ,051-463-5433
일반음식점,마산아구찜,부산광역시 동구 중앙대로371번길 24 (수정동),부산광역시 동구 수정동 200-4 ,051-441-8188
일반음식점,초량분식,부산광역시 동구 초량로 49 (초량동),부산광역시 동구 초량동 811-43 ,051-931-0610
일반음식점,신향양다리구이,부산광역시 동구 조방로49번길 15 (범일동),부산광역시 동구 범일동 830-256 ,051-636-6166
일반음식점,영춘식당,부산광역시 동구 중앙대로286번길 3-1 (초량동),부산광역시 동구 초량동 1163-9 ,
일반음식점,물레방아,부산광역시 동구 대영로243번길 10 (초량동),부산광역시 동구 초량동 621-2 ,
일반음식점,심청이보쌈,부산광역시 동구 범일로90번길 16 (범일동),부산광역시 동구 범일동 572-3 ,051-635-3738
일반음식점,초량장어,부산광역시 동구 초량상로 103 (초량동),부산광역시 동구 초량동 129-7 ,051-466-2389
일반음식점,카페051부산역점,부산광역시 동구 중앙대로 209 (초량동),부산광역시 동구 초량동 1207-7 ,051-442-0510
일반음식점,대지집,부산광역시 동구 범일로89번길 33 (범일동),부산광역시 동구 범일동 662-69 ,051-642-9150
일반음식점,용성루,부산광역시 동구 자성로8번길 16 (좌천동),부산광역시 동구 좌천동 192-3 ,051-632-8585
일반음식점,국제오징어,"부산광역시 동구 조방로49번길 11 (범일동,,45)","부산광역시 동구 범일동 830-44 ,45 ",051-639-7942
일반음식점,윤희네,"부산광역시 동구 조방로49번길 11 (범일동,, 830-45)","부산광역시 동구 범일동 830-44 , 830-45 ",051-632-3095
일반음식점,정쭈삼,부산광역시 동구 초량로 7-2 (초량동),부산광역시 동구 초량동 197-39 ,051-462-2873
일반음식점,보문정숯불갈비,"부산광역시 동구 중앙대로361번길 24-16 (수정동,,192-7)","부산광역시 동구 수정동 191-1 ,192-7 ",051-468-6551
일반음식점,중독갈비,부산광역시 동구 초량로 7-1 (초량동),부산광역시 동구 초량동 197-40 ,051-468-3124
일반음식점,컴포즈커피,부산광역시 동구 진성로9번길 21 (수정동),부산광역시 동구 수정동 3-2 ,051-464-9291
일반음식점,중앙반점황궁,부산광역시 동구 중앙대로196번길 12-8 (초량동),부산광역시 동구 초량동 1204-6 ,051-469-1433
일반음식점,땅스부대찌개,부산광역시 동구 중앙대로371번길 8 (수정동),부산광역시 동구 수정동 1-117 ,051-466-8599
일반음식점,할매곱창집,부산광역시 동구 수정동로 22-2 (수정동),부산광역시 동구 수정동 547-22 ,
일반음식점,청용각,부산광역시 동구 홍곡로 67 (수정동),부산광역시 동구 수정동 1011-51 ,051-468-0528
일반음식점,할매식당,부산광역시 동구 진성로9번길 54 (수정동),부산광역시 동구 수정동 157-3 ,051-464-1715
일반음식점,진주식당,부산광역시 동구 진성로9번길 60 (수정동),부산광역시 동구 수정동 154-2 ,051-468-4234
일반음식점,풍기삼계탕,부산광역시 동구 중앙대로286번길 3-5 (초량동),부산광역시 동구 초량동 1163-8 ,051-465-7377
일반음식점,화성통삼겹,부산광역시 동구 초량로 5 (초량동),부산광역시 동구 초량동 207-9 ,051-468-2112
일반음식점,신흥관,"부산광역시 동구 정공단로 47 (범일동,160-5)",부산광역시 동구 범일동 158-1 160-5 ,051-643-7773
일반음식점,남경해물낙지,부산광역시 동구 중앙대로196번길 12-8 (초량동),부산광역시 동구 초량동 1204-6 ,051-469-6153
일반음식점,바리스트로 부산역점,부산광역시 동구 중앙대로196번길 12-8 (초량동),부산광역시 동구 초량동 1204-6 중앙빌딩 101호 ,
일반음식점,밀양돼지국밥,부산광역시 동구 중앙대로196번길 6-11 (초량동),부산광역시 동구 초량동 1204-17 ,051-463-9926
일반음식점,제주가,부산광역시 동구 중앙대로196번길 6-9 (초량동),부산광역시 동구 초량동 1204-8 ,051-462-8877
일반음식점,서호밀면,"부산광역시 동구 초량중로 113-1 (초량동,, 1072-59)","부산광역시 동구 초량동 90-19 , 1072-59 ",
일반음식점,거창통닭,부산광역시 동구 진성로9번길 28 (수정동),부산광역시 동구 수정동 189-6 ,051-468-7590
일반음식점,엄마백반,부산광역시 동구 중앙대로286번길 7-11 (초량동),부산광역시 동구 초량동 1162-1 ,051-464-1638
일반음식점,단미포차,부산광역시 동구 진성로9번길 14 (수정동),부산광역시 동구 수정동 210-6 ,051-442-2588
일반음식점,미진축산(부산진역점),"부산광역시 동구 진성로9번길 22 (수정동,4,13,14,16  195-3)","부산광역시 동구 수정동 189-3 4,13,14,16  195-3 ",051-467-7918
일반음식점,60년전통할매국밥,부산광역시 동구 중앙대로533번길 4 (범일동),부산광역시 동구 범일동 28-5 ,051-646-6295
일반음식점,초량갈비,부산광역시 동구 초량로 17-7 (초량동),부산광역시 동구 초량동 197-36 ,051-467-9276
일반음식점,또올식당,부산광역시 동구 범일일길 8 (범일동),부산광역시 동구 범일동 652-14 ,051-636-2567
일반음식점,둥지식당,부산광역시 동구 부산진성공원로3번길 23 (범일동),부산광역시 동구 범일동 575-2 ,051-404-5328
일반음식점,명가,부산광역시 동구 부산진성공원로 23-9 (범일동),부산광역시 동구 범일동 570-34 ,051-644-0079
일반음식점,골목일번지,부산광역시 동구 중앙대로371번길 9 (수정동),부산광역시 동구 수정동 3-3 ,051-462-0208
일반음식점,원조 자연산 장어구이,부산광역시 동구 부산진성공원로3번길 23-3 (범일동),부산광역시 동구 범일동 575-1 ,051-635-6503
일반음식점,풍성식당,,"부산광역시 동구 수정동 213-2 210-3,4 ",051-467-4659
일반음식점,초량언니,부산광역시 동구 초량로 17 (초량동),부산광역시 동구 초량동 197-16 ,051-467-8408
일반음식점,현대식당,부산광역시 동구 범일로90번길 14 (범일동),부산광역시 동구 범일동 572-12 ,051-646-4171
일반음식점,양이랑,부산광역시 동구 중앙대로179번길 3 (초량동),부산광역시 동구 초량동 1210-2 ,051-465-8868
일반음식점,경회루,부산광역시 동구 중앙대로180번길 6-13 (초량동),부산광역시 동구 초량동 1212-8 ,051-463-6589
일반음식점,은자식당,부산광역시 동구 초량상로 61-2 (초량동),부산광역시 동구 초량동 973-5 ,
일반음식점,팔봉이 밀면,부산광역시 동구 중앙대로320번길 3-10 (초량동),부산광역시 동구 초량동 1153-4 ,
일반음식점,호호식당,부산광역시 동구 범곡북로 30 (범일동),부산광역시 동구 범일동 1484-3 ,051-632-5574
일반음식점,하동식당,부산광역시 동구 진성로9번길 54 (수정동),부산광역시 동구 수정동 157-3 ,051-468-9571
일반음식점,통일집,부산광역시 동구 초량상로 136 (수정동),부산광역시 동구 수정동 389-24 ,051-467-3836
일반음식점,조마루뼈다귀수정점,"부산광역시 동구 고관로 139 (수정동,, 230-6)","부산광역시 동구 수정동 227-39 , 230-6 ",051-468-0760
일반음식점,단무지,"부산광역시 동구 정공단로 35 (좌천동,429-11,12)","부산광역시 동구 좌천동 429-10 429-11,12 ",051-632-0099
일반음식점,열정국밥,부산광역시 동구 진성로9번길 11-1 (수정동),부산광역시 동구 수정동 1-163 ,051-468-1232
일반음식점,초량죽집,부산광역시 동구 초량중로 80 (초량동),부산광역시 동구 초량동 243-3 ,051-468-9500
일반음식점,석화한정식,부산광역시 동구 조방로 21 (범일동),부산광역시 동구 범일동 830-61 ,051-632-5005
일반음식점,신토불이 영양솥밥 한정식,부산광역시 동구 조방로49번길 24 (범일동),부산광역시 동구 범일동 830-32 ,051-646-1582
일반음식점,본전돼지국밥,부산광역시 동구 중앙대로214번길 3-8 (초량동),부산광역시 동구 초량동 1200-6 ,051-441-2946
일반음식점,오지범,부산광역시 동구 범일로90번길 16-8 (범일동),부산광역시 동구 범일동 578-1 ,
일반음식점,대복집,부산광역시 동구 부산진성공원로 1-12 (범일동),부산광역시 동구 범일동 617-4 ,051-634-3838
일반음식점,조방주막,부산광역시 동구 부산진성공원로3번길 19-2 (범일동),부산광역시 동구 범일동 575-3 ,051-638-3344
일반음식점,왕새우 매운돼지,부산광역시 동구 중앙대로371번길 8 (수정동),부산광역시 동구 수정동 1-117 ,051-462-7338
일반음식점,진호프,"부산광역시 동구 고관로 83-1 (수정동,1/3)",부산광역시 동구 수정동 324-5 1/3 ,051-468-8486
일반음식점,화성곰탕,부산광역시 동구 부산진성공원로3번길 19-4 (범일동),부산광역시 동구 범일동 574-4 ,051-647-0880
일반음식점,초량이바구양지국밥,부산광역시 동구 초량로 117 (초량동),부산광역시 동구 초량동 851-7 ,051-467-6847
일반음식점,문출래된장,부산광역시 동구 중앙대로214번길 3-6 (초량동),부산광역시 동구 초량동 1200-7 ,051-469-9609
일반음식점,팔도통닭 범일점,부산광역시 동구 조방로49번길 17 (범일동),부산광역시 동구 범일동 830-220 ,051-633-5892
일반음식점,착한동태,"부산광역시 동구 조방로49번길 13 (범일동,47,48)","부산광역시 동구 범일동 830-46 47,48 ",051-633-3999
일반음식점,우지커피 부산진역점,,부산광역시 동구 수정동 210-6 ,051-469-4789
일반음식점,동백식당,부산광역시 동구 중앙대로 192 (초량동),부산광역시 동구 초량동 1205-1 ,
일반음식점,일품향,부산광역시 동구 대영로243번길 22 (초량동),부산광역시 동구 초량동 616-3 ,051-467-1016
일반음식점,꼬꼬뱅보양닭요리전문점,부산광역시 동구 조방로49번길 12-1 (범일동),부산광역시 동구 범일동 833-16 ,051-646-3030
일반음식점,푸짐한 마을 실비식당,"부산광역시 동구 조방로49번길 13 (범일동,47)",부산광역시 동구 범일동 830-46 47 ,051-632-6969
일반음식점,범일돼지갈비,부산광역시 동구 조방로49번길 17 (범일동),부산광역시 동구 범일동 830-220 ,051-643-3112
일반음식점,교촌치킨,부산광역시 동구 조방로49번길 10 (범일동),부산광역시 동구 범일동 833-2 ,051-642-8558
일반음식점,가덕할매집,부산광역시 동구 범일로89번길 51-3 (범일동),부산광역시 동구 범일동 668-45 ,051-642-6875
일반음식점,아바차,부산광역시 동구 대영로243번길 49 (초량동),부산광역시 동구 초량동 579-1 ,051-469-0077
일반음식점,텐퍼센트,부산광역시 동구 중앙대로286번길 3-3 (초량동),부산광역시 동구 초량동 1163-11 ,051-469-1745
일반음식점,소삼대,부산광역시 동구 조방로49번길 16 (범일동),부산광역시 동구 범일동 833-4 ,051-642-5990
일반음식점,미락정,부산광역시 동구 중앙대로180번길 12-13 (초량동),부산광역시 동구 초량동 1213-22 ,051-463-3255
일반음식점,최고집,부산광역시 동구 부산진성공원로3번길 19-3 (범일동),부산광역시 동구 범일동 620-1 ,
일반음식점,내고향추어탕,부산광역시 동구 고관로 138-1 (수정동),부산광역시 동구 수정동 227-66 ,051-441-2220
일반음식점,육회왕자연어공주 부산초량점,부산광역시 동구 초량로 9 (초량동),부산광역시 동구 초량동 197-22 ,051-466-3782
일반음식점,대복,부산광역시 동구 중앙대로214번길 3-6 (초량동),부산광역시 동구 초량동 1200-7 ,051-442-1210
일반음식점,경북산곰장어,"부산광역시 동구 초량로 25 (초량동,, 275-2, 276-4)","부산광역시 동구 초량동 275-0 , 275-2, 276-4 ",051-441-9292
일반음식점,서울장춘족발,부산광역시 동구 초량중로 82-1 (초량동),부산광역시 동구 초량동 253-4 ,051-469-0645
일반음식점,초량24시보리밥배내골옻닭,부산광역시 동구 초량중로 103 (초량동),부산광역시 동구 초량동 110-25 ,051-467-9999
일반음식점,초량본가,부산광역시 동구 초량중로 70 (초량동),부산광역시 동구 초량동 296-28 ,051-467-0722
일반음식점,신풍분식,부산광역시 동구 고관로13번길 40 (초량동),부산광역시 동구 초량동 113-8 ,051-468-9014
일반음식점,나베야돈까스,부산광역시 동구 고관로 133-1 (수정동),부산광역시 동구 수정동 232-7 ,051-444-1050
일반음식점,부일삼계탕,부산광역시 동구 진성로9번길 26 (수정동),부산광역시 동구 수정동 189-17 ,051-467-4314
일반음식점,북경,부산광역시 동구 자성로133번길 45-1 (범일동),부산광역시 동구 범일동 830-170 ,051-632-7778
일반음식점,고전사랑방,"부산광역시 동구 초량중로 99 (초량동,,16, 17)","부산광역시 동구 초량동 135-10 ,16, 17 ",051-468-2140
일반음식점,씨유(CU)동구수정점,부산광역시 동구 중앙대로371번길 25 (수정동),부산광역시 동구 수정동 198-4 ,051-468-0999
일반음식점,수양버드나무집,부산광역시 동구 중앙대로 393-7 (수정동),부산광역시 동구 수정동 1-79 ,051-468-8989
일반음식점,정아밀면돼지국밥,부산광역시 동구 중앙대로251번길 18 (초량동),부산광역시 동구 초량동 167-6 ,051-441-1001
일반음식점,마가 만두집,부산광역시 동구 대영로243번길 56 (초량동),부산광역시 동구 초량동 563-0 ,051-468-4059
일반음식점,정원식당,부산광역시 동구 중앙대로231번길 42 (초량동),부산광역시 동구 초량동 291-10 ,051-468-6751
일반음식점,동산식당,"부산광역시 동구 중앙대로274번길 3-7 (초량동,, 1164-12)","부산광역시 동구 초량동 1164-4 , 1164-12 ",051-463-5102
일반음식점,칠칠식당,,부산광역시 동구 수정동 189-23 ,051-465-4377
일반음식점,더금송,부산광역시 동구 조방로49번길 16-1 (범일동),부산광역시 동구 범일동 833-35 ,051-635-1028
일반음식점,구이전문점,부산광역시 동구 진성로9번길 36 (수정동),부산광역시 동구 수정동 189-11 ,051-465-2116
일반음식점,진주식당,부산광역시 동구 성남로47번길 2 (좌천동),부산광역시 동구 좌천동 68-93 ,051-631-4547
일반음식점,강동생오리,부산광역시 동구 고관로29번길 22 (초량동),부산광역시 동구 초량동 36-6 ,051-464-8052
일반음식점,혜랑,부산광역시 동구 망양로 890 (범일동),부산광역시 동구 범일동 1445-25 ,051-639-5982
일반음식점,중화루,"부산광역시 동구 중앙대로 523-1, 1층 (범일동)",부산광역시 동구 범일동 72-2 ,051-631-6015
일반음식점,역전할머니맥주 범일점,부산광역시 동구 조방로49번길 28 (범일동),부산광역시 동구 범일동 830-36 ,051-638-9233
일반음식점,기장장어,부산광역시 동구 부산진성공원로3번길 11-4 (범일동),부산광역시 동구 범일동 623-1 ,051-647-2620
일반음식점,용이네뒷고기 범일직영점,부산광역시 동구 범일로 92-8 (범일동),부산광역시 동구 범일동 830-219 ,051-635-8900
일반음식점,풍미식당,부산광역시 동구 조방로49번길 13 (범일동),부산광역시 동구 범일동 830-46 ,051-642-5154
일반음식점,내내식당,"부산광역시 동구 진성로 51 (좌천동,1015-6)",부산광역시 동구 좌천동 997-18 1015-6 ,051-464-8179
일반음식점,비턴 범일점,부산광역시 동구 조방로49번길 15 (범일동),부산광역시 동구 범일동 830-256 ,051-632-5500
일반음식점,맥주편의점(Beer store),부산광역시 동구 중앙대로221번길 10 (초량동),부산광역시 동구 초량동 386-1 ,051-465-0655
일반음식점,부영회관,부산광역시 동구 중앙대로196번길 12-9 (초량동),부산광역시 동구 초량동 1203-17 ,051-462-5501
일반음식점,하림식당,부산광역시 동구 고관로 110-6 (수정동),부산광역시 동구 수정동 181-3 ,051-441-6332
일반음식점,웅복,부산광역시 동구 진성로28번길 19 (좌천동),부산광역시 동구 좌천동 692-18 ,051-632-2019
일반음식점,덕화네 수구레국밥,부산광역시 동구 중앙대로361번길 24-18 (수정동),부산광역시 동구 수정동 192-6 ,051-466-8918
일반음식점,부엌우동집,부산광역시 동구 중앙대로214번길 7-9 (초량동),부산광역시 동구 초량동 1200-13 ,051-462-8610
일반음식점,해신자연산횟집,부산광역시 동구 중앙대로196번길 12-11 (초량동),부산광역시 동구 초량동 1203-7 ,051-462-2255
일반음식점,본가장어구이,부산광역시 동구 부산진성공원로3번길 10 (범일동),부산광역시 동구 범일동 618-17 ,051-627-3233
일반음식점,주식회사 더디앤제이,"부산광역시 동구 범일로 64-5 (범일동,11,12)","부산광역시 동구 범일동 321-6 11,12 ",051-645-5030
일반음식점,스시단,부산광역시 동구 부산진성공원로 23-11 (범일동),부산광역시 동구 범일동 570-33 ,051-977-3743
일반음식점,코카모메 부산역점,부산광역시 동구 초량로13번길 76 (초량동),부산광역시 동구 초량동 510-3 ,051-468-6531
일반음식점,한진식당,"부산광역시 동구 조방로49번길 13 (범일동,830-47,48)","부산광역시 동구 범일동 830-46 830-47,48 ",051-643-2348
일반음식점,거원반점,부산광역시 동구 범일로 92-6 (범일동),부산광역시 동구 범일동 830-37 ,051-634-2000
일반음식점,갈비새김,부산광역시 동구 범일로89번길 40 (범일동),부산광역시 동구 범일동 916-3 ,051-647-8797
일반음식점,타임,부산광역시 동구 고관로 133 (수정동),부산광역시 동구 수정동 231-7 ,051-467-8885
일반음식점,구이전문집,부산광역시 동구 진성로9번길 36 (수정동),부산광역시 동구 수정동 189-11 ,051-465-2116
일반음식점,락천각,부산광역시 동구 대영로243번길 17-1 (초량동),부산광역시 동구 초량동 605-1 ,051-465-2885
일반음식점,고궁삼계탕,부산광역시 동구 중앙대로180번길 12-10 (초량동),부산광역시 동구 초량동 1212-3 ,051-463-6360
일반음식점,부산역 보울스 포케샐러드,부산광역시 동구 중앙대로221번길 7 (초량동),부산광역시 동구 초량동 380-5 ,051-468-9923
일반음식점,오니기리와이규동,부산광역시 동구 대영로243번길 109 (초량동),부산광역시 동구 초량동 478-2 ,051-467-4905
일반음식점,다원식당,부산광역시 동구 중앙대로214번길 7-11 (초량동),부산광역시 동구 초량동 1200-1 ,051-465-2824
일반음식점,서울삼계탕,부산광역시 동구 구봉로 6 (초량동),부산광역시 동구 초량동 668-13 ,051-467-2712
일반음식점,산곰장어와 바다장어,부산광역시 동구 초량로13번길 31 (초량동),부산광역시 동구 초량동 322-3 ,051-468-5560
일반음식점,찐불이찐숯불두마리치킨 부산역점,부산광역시 동구 중앙대로196번길 6-7 (초량동),부산광역시 동구 초량동 1204-7 ,051-464-4727
일반음식점,백제삼계탕,부산광역시 동구 범일로89번길 4 (범일동),부산광역시 동구 범일동 934-3 ,051-646-5692
일반음식점,청도식당,부산광역시 동구 중앙대로361번길 24-4 (수정동),부산광역시 동구 수정동 187-1 ,051-441-6277
일반음식점,鮮(せん)센,"부산광역시 동구 진성로9번길 24, 1층 (수정동)",부산광역시 동구 수정동 189-4 ,051-468-6174
일반음식점,도원가든,부산광역시 동구 고관로13번길 23 (초량동),부산광역시 동구 초량동 65-4 ,
일반음식점,조선돼지국밥,부산광역시 동구 중앙대로214번길 7-11 (초량동),부산광역시 동구 초량동 1200-1 ,051-469-8930
일반음식점,초량밀면,부산광역시 동구 중앙대로 225 (초량동),부산광역시 동구 초량동 363-2 ,051-462-1575
일반음식점,노홍만두,부산광역시 동구 진시장로 19-7 (범일동),부산광역시 동구 범일동 652-6 ,051-646-4756
